freq,psd_x,psd_y,psd_z,psd_xyz
185.8,7.687e+03,5.742e+03,1.107e+04,2.450e+04
187.3,6.532e+03,4.858e+03,9.178e+03,2.057e+04
188.8,6.545e+03,4.996e+03,8.970e+03,2.051e+04
190.4,5.737e+03,4.847e+03,8.600e+03,1.918e+04
191.9,5.903e+03,4.844e+03,9.518e+03,2.026e+04
193.4,6.299e+03,5.266e+03,9.804e+03,2.137e+04
194.9,7.087e+03,6.082e+03,1.183e+04,2.500e+04
196.4,7.867e+03,6.525e+03,1.178e+04,2.617e+04
197.9,8.242e+03,7.322e+03,1.138e+04,2.694e+04
199.4,9.025e+03,8.143e+03,1.113e+04,2.830e+04
200.9,9.022e+03,8.010e+03,1.056e+04,2.759e+04
202.4,9.879e+03,9.103e+03,1.256e+04,3.154e+04
